scientific_name,crop_id
Abelmoschus esculentus,289
Abelmoschus manihot,290
Adenanthera pavonina,318
Aleurites moluccana,354
Allium ampeloprasum,363
Allium cepa,364
Allium fistulosum,365
Amaranthus cruentus,390
Amaranthus sp.,391
Amorphophallus paeoniifolius,400
Anacardium occidentale,401
Ananas comosus,402
Annona muricata,411
Annona reticulata,412
Annona squamosa,414
Apium graveolens,431
Apium graveolens var. dulce,432
Araucaria cunninghamii,443
Areca catechu,449
Artocarpus heterophyllus,459
Arundo donax,465
Asparagus officinalis,468
Avena sativa,481
Averrhoa bilimbi,482
Averrhoa carambola,483
Bambusa vulgaris,493
Barringtonia racemosa,501
Basella alba,504
Basella rubra,505
Bauhinia variegata,508
Benincasa hispida,513
Beta vulgaris,514
Bidens pilosa,517
Brachychiton populneus,545
Brassica chinensis,547
Brassica juncea,548
Brassica napus,549
Allium cepa var. cepa,551
Brassica oleracea var. botrytis,553
Brassica oleracea var. capitata,554
Brassica oleracea var. gemmifera,555
Brassica oleracea var. italica,556
Broussonetia papyrifera,565
Cajanus cajan,576
Calophyllum inophyllum,588
Allium tuberosum,594
Camellia sinensis,599
Canarium indicum,606
Canavalia ensiformis,609
Canna indica,612
Capsicum annuum,618
Capsicum frutescens,621
Carica papaya,630
Casimiroa edulis,633
Cassia occidentalis,639
Ceiba pentandra,658
Celosia argentea,660
Centella asiatica,669
Chrysophyllum cainito,689
Cichorium endivia,693
Cichorium intybus,694
Citrullus lanatus,708
Citrus aurantium,711
Citrus grandis,712
Citrus limon,714
Citrus medica,716
Citrus paradisi,717
Citrus reticulata,718
Citrus sinensis,720
Citrus sp.,722
Clitoria ternatea,738
Coccoloba uvifera,743
Cocos nucifera,744
Coffea arabica,749
Coffea canephora,750
Coffea liberica,751
Colocasia esculenta,758
Cordia alliodora,777
Coriandrum sativum,784
Crotalaria pallida,803
Allium schoenoprasum,810
Cucumis melo,815
Cucumis sativus,817
Cucurbita maxima,819
Cucurbita moschata,820
Cucurbita pepo,821
Cyamopsis tetragonoloba,830
Cynara scolymus,847
Cyperus rotundus,856
Cyphomandra betacea,859
Dactyloctenium aegyptium,866
Daucus carota,871
Dendrocalamus giganteus,882
Actinidia chinensis,889
Dioscorea alata,936
Dioscorea bulbifera,938
Dioscorea esculenta,939
Dioscorea rotundata,942
Diospyros kaki,945
Durio zibethinus,963
Echinochloa crus-galli,970
Elaeis guineensis,972
Eleusine indica,985
Emilia sonchifolia,988
Eriobotrya japonica,1002
Erythrina fusca,1007
Syzygium cumini,1030
Syzygium malaccense,1033
Feijoa sellowiana,1068
Ficus carica,1071
Allium cepa var. aggregatum,1096
Foeniculum vulgare,1107
Fortunella japonica,1110
Fragaria x ananassa,1112
Garcinia mangostana,1122
Garcinia xanthochymus,1125
Glycine max,1150
Gmelina arborea,1152
Helianthus tuberosus,1193
Hevea brasiliensis,1212
Hibiscus cannabinus,1213
Hibiscus sabdariffa,1216
Hibiscus syriacus,1220
Hordeum vulgare,1232
Imperata cylindrica,1252
Inga edulis,1260
Ipomoea aquatica,1264
Ipomoea batatas,1265
Ischaemum rugosum,1283
Kigelia pinnata,1306
Lablab purpureus,1311
Lactuca sativa var. capitata,1313
Lagenaria siceraria,1315
Leucaena leucocephala,1344
Litchi chinensis,1357
Luffa acutangula,1373
Lycopersicon esculentum,1379
Macadamia integrifolia,1382
Macrotyloma uniflorum,1399
Malpighia glabra,1406
Malus domestica,1407
Malus sylvestris,1410
Mammea americana,1414
Mangifera indica,1416
Manihot esculenta,1420
Medicago sativa,1428
Melicoccus bijugatus,1436
Metroxylon sagu,1466
Monochoria vaginalis,1485
Morinda citrifolia,1488
Morus alba,1491
Muntingia calabura,1500
Musa sapientum,1503
Nasturtium officinale,1522
Nephelium lappaceum,1528
Nypa fruticans,1543
Ocimum basilicum,1547
Olea europaea,1553
Oryza sativa,1574
Pachyrhizus erosus,1582
Panicum antidotale,1602
Parkinsonia aculeata,1617
Paspalum scrobiculatum,1630
Passiflora edulis var. flavicarpa,1634
Passiflora laurifolia,1637
Passiflora mollissima,1638
Passiflora quadrangularis,1639
Pastinaca sativa,1642
Persea americana,1659
Phaseolus coccineus,1665
Phaseolus lunatus,1666
Phaseolus vulgaris,1668
Phoenix dactylifera,1673
Physalis peruviana,1686
Pimenta dioica,1689
Pisum sativum,1721
Portulaca oleracea,1784
Prosopis alba,1793
Prunus persica,1796
Psidium cattleianum,1803
Psidium guajava,1804
Psophocarpus tetragonolobus,1807
Pterocarpus indicus,1817
Pueraria lobata,1822
Pueraria phaseoloides,1824
Punica granatum,1829
Pyrus communis,1832
Raphanus sativus,1839
Rubus idaeus ssp. idaeus,1877
Rubus sp.,1881
Saccharum edule,1883
Saccharum officinarum,1884
Saccharum robustum,1885
