crop_id,scientific_name,soil_ph_absolute_max,soil_ph_absolute_min,soil_ph_optimal_max,soil_ph_optimal_max,rainfall_annual_optimal_max
289,Abelmoschus esculentus,8.7,4.5,7.0,7.0,1200.0
290,Abelmoschus manihot,8.0,5.0,7.0,7.0,2000.0
318,Adenanthera pavonina,7.5,4.5,7.0,7.0,5000.0
354,Aleurites moluccana,8.5,4.3,8.0,8.0,1800.0
363,Allium ampeloprasum,7.5,4.5,6.5,6.5,1000.0
364,Allium cepa,8.3,4.3,7.0,7.0,600.0
365,Allium fistulosum,8.5,5.5,7.4,7.4,1600.0
390,Amaranthus cruentus,7.5,4.3,7.0,7.0,2400.0
391,Amaranthus sp.,8.5,4.3,7.5,7.5,1400.0
400,Amorphophallus paeoniifolius,7.5,5.0,6.2,6.2,1500.0
401,Anacardium occidentale,8.7,3.8,6.5,6.5,1600.0
402,Ananas comosus,9.0,3.5,8.0,8.0,2500.0
411,Annona muricata,8.0,4.5,6.5,6.5,2200.0
412,Annona reticulata,8.0,4.5,7.5,7.5,1400.0
414,Annona squamosa,8.5,4.3,8.0,8.0,1200.0
431,Apium graveolens,7.5,5.5,6.8,6.8,1300.0
432,Apium graveolens var. dulce,8.3,4.5,6.8,6.8,1300.0
443,Araucaria cunninghamii,7.5,4.5,6.5,6.5,2000.0
449,Areca catechu,6.8,4.5,6.0,6.0,3000.0
459,Artocarpus heterophyllus,8.0,4.3,7.5,7.5,3000.0
468,Asparagus officinalis,8.2,4.5,6.7,6.7,1200.0
481,Avena sativa,7.5,4.5,6.0,6.0,1000.0
482,Averrhoa bilimbi,8.3,5.0,6.5,6.5,2300.0
483,Averrhoa carambola,8.5,5.0,6.5,6.5,2000.0
493,Bambusa vulgaris,6.5,4.5,6.0,6.0,2500.0
501,Barringtonia racemosa,7.5,5.0,7.0,7.0,1500.0
504,Basella alba,7.5,4.3,7.0,7.0,2500.0
505,Basella rubra,7.5,4.3,7.0,7.0,2500.0
508,Bauhinia variegata,7.5,5.0,7.0,7.0,2200.0
513,Benincasa hispida,7.5,5.0,6.8,6.8,800.0
514,Beta vulgaris,7.5,5.5,7.0,7.0,800.0
517,Bidens pilosa,8.5,3.5,8.0,8.0,2500.0
545,Brachychiton populneus,8.5,6.5,8.0,8.0,750.0
547,Brassica chinensis,8.0,5.3,7.5,7.5,1600.0
548,Brassica juncea,8.0,5.0,6.5,6.5,2400.0
549,Brassica napus,8.0,5.5,7.6,7.6,1000.0
551,Allium cepa var. cepa,8.3,4.3,7.0,7.0,600.0
553,Brassica oleracea var. botrytis,8.5,5.5,7.0,7.0,1100.0
554,Brassica oleracea var. capitata,8.3,5.0,7.5,7.5,1000.0
555,Brassica oleracea var. gemmifera,7.8,4.5,7.0,7.0,1600.0
556,Brassica oleracea var. italica,8.5,5.5,6.8,6.8,1500.0
565,Broussonetia papyrifera,8.0,4.5,7.5,7.5,2500.0
576,Cajanus cajan,8.4,4.5,7.0,7.0,1500.0
588,Calophyllum inophyllum,8.0,5.0,7.0,7.0,4000.0
594,Allium tuberosum,8.3,5.3,6.8,6.8,2200.0
599,Camellia sinensis,6.0,4.0,5.5,5.5,2000.0
606,Canarium indicum,8.1,5.5,7.5,7.5,4000.0
609,Canavalia ensiformis,8.0,4.3,6.0,6.0,2000.0
612,Canna indica,8.0,5.0,7.5,7.5,4500.0
618,Capsicum annuum,7.0,4.5,6.8,6.8,1250.0
621,Capsicum frutescens,8.3,4.3,6.8,6.8,1500.0
630,Carica papaya,8.0,4.5,7.0,7.0,2500.0
633,Casimiroa edulis,8.0,6.5,7.5,7.5,3000.0
639,Cassia occidentalis,8.4,4.5,7.0,7.0,1700.0
658,Ceiba pentandra,7.5,5.0,6.5,6.5,2500.0
660,Celosia argentea,7.5,5.5,6.5,6.5,2500.0
689,Chrysophyllum cainito,7.5,4.4,5.5,5.5,1400.0
693,Cichorium endivia,8.5,5.3,7.8,7.8,1400.0
694,Cichorium intybus,8.3,4.5,7.5,7.5,2500.0
708,Citrullus lanatus,7.5,5.5,7.0,7.0,700.0
