crop_id,common_names
289,abelmoskus
289,america-neri
289,bakhua mun
289,bamia
289,bamija
289,bamya
289,bandakai
289,bende'
289,bhindee
289,bhindi
289,bindi
289,bumbo
289,bunga depros
289,calulu'
289,cantarella
289,chaucha turca
289,dâu bap
289,Eibisch
289,frutto d‚ibisco
289,gobbo
289,gombaut
289,gombo
289,Gombro
289,haluyoy
289,huang qiu kui
289,ibisco
289,kacang bendi
289,kacang lender
289,kembang dapros
289,ketmie comestible
289,kopi arab
289,krachiap man
289,krachiapkhieo
289,lady fingers
289,lady's finger
289,mesta
289,ocra
289,okay
289,oker
289,okra
289,okro
289,okura
289,quiabo
289,quimbambo
289,quimgombó
289,quingombo
289,ramturai
289,rosenapfel
289,saluyota bunga
289,sayur bendi
289,tori
289,tuah lek
289,vendakai
289,yong kok dau
290,neka (Simbo)
290,bele (Fiji)
290,pele (Tonga
290,Tuvalu)
290,aibika
290,island cabbage
290,baera
290,bush spinach
290,peli
290,slippery cabbage (Solomon Is.)
290,bush cabbage
290,slipery kabis
318,Acacia Coral
318,adenantero
318,Agati
318,Agati Petite Feuille
318,Arbreglise
318,Barbados coralwood
318,Barbados pride
318,bead tree
318,Bois Noir de Bourbon
318,Bois Noir la Graine
318,Bois Noir Rouge
318,Bois Noir
318,caralillo
318,caralín
318,carolina
318,chan‚trèi
318,circassian bean
318,circassian seed
318,Corail Vegetale
318,Coral Wood
318,coral
318,Coralitos
318,coralitos peonía
318,crab's eyes
318,Curly Bean
318,Deleite
318,Delicia
318,Dilmawi
318,église
318,Extranjera
318,flower-fence
318,Graine-r‚glisse
318,Graines Rouges
318,Jumbi Bead
318,L‚glise
318,jumbie bead
318,kitoke laut
318,Lagati
318,lam
318,legliz
318,Lera
318,lopa
318,ma clam ta cheng
318,ma clam ton
318,ma hok daeng
318,mai-chek
318,malatinglin
318,mangelim
318,olho de pavao
318,Paina
318,peacock flower-fence
318,peronía
318,peronías
318,Pitipitio
318,Pomea
318,Popoa
318,R‚glisse
318,raktakambal
318,Red Bead Tree
318,Red Sandalwood Tree
318,Red Sandalwood
318,reglisse
318,saga telik
318,saga tumpul
318,saga
318,sandal bead tree
318,segawe sabrang
318,suga
318,temo-carolina
318,tento carolina
318,Vaivai Ni Vavalagired
318,sandalwood tree
318,zumbic tree
354,candlenut
354,tuitui (Tonga)
354,lama
354,Candle nut
363,wild leek
363,vine leek
363,Levant garlic
363,alho porro bravo
363,liiki
364,onion
364,potato onion
364,shallot
364,echalote
364,oignon
364,cebolla
364,basal
364,cebola
364,cipolla
364,Zwiebel
364,Küchenzwiebel
364,lök
364,rödlök
364,løg
364,rødløg
364,kepaløk
364,ruokasipuli
364,ui
364,ajuin
364,mózespecsenye
364,zsidószalonna
364,hagyma
364,vöröshagyma
364,zöldhagyma
364,újhagyma (green onion)
364,cibule
364,ceba
364,cepo
364,sercajo
364,spritajo
364,uinnean
364,Bulbus Allii Cepae
364,uie
364,luk
364,cebula jadalna
364,sogan
364,pias
364,kremmídi
364,laukur
364,yang-ts'ung
364,chung
364,cong
364,ts'ung
364,chung tau
364,ts'ung tau
364,yang ts'ung
364,tamanegi
364,atasuki
364,wakegi
364,kalik
364,piaz
364,piyaz
364,varosa
364,key shinkurt
364,ponoru
364,pianj
364,kesunni
364,kyet-thun-ni
364,harili sibul
364,dungari
364,yarok
364,batzal
364,bawang merah
364,bawang daun
364,daun bawang (green leaf)
364,nirulli
364,khtim slek
364,khtim kraham
364,phak bouo
364,bawang daun (green leaf)
364,ulli
364,kanda
364,piaja
364,ayun
364,peyaz
364,ceapã
364,palandu
364,lunu
364,kitunguu
364,sibuyas
364,irulli
364,vengayam
364,ton hom
364,hua hom
364,hanh
364,lasóna
365,branching onion
365,Spanish onion
365,Japanese bunching onion
365,chibol
365,Spring onion
365,stone leek
365,Japanese leek
365,Welsh onion
365,ceboleta de Espanha
390,whitespot
390,giant arum
390,purple amaranth
391,amaranth
391,kata natay
391,chulai
400,elephant foot yam
400,elephant yam
400,yam
401,mamuang himmaphan
401,yaruang
401,mamuang letlor
401,cashew
401,cashew nut
401,acajou á pomme
401,noix d'acajou
401,marañon
401,casho
401,cashu
401,cajou
401,anacardier
401,caju
401,acajú
401,kasjoe
401,mereke
401,kaju
401,apu initia
401,kesiu
401,cashewnuss
401,cashewbaum
401,jambu mortyet
401,jambu mede
401,gajus
401,jambu monyet
401,kasoy
401,balubad
401,balogo
401,thiho thayet si
401,svaay chantii
401,dao lon hot
401,cay dieu
401,nut-cashew
402,pineapple
402,pina
402,po lo mah
402,ananas
402,abacaxi
402,vadra
402,vainaviu
402,andras
402,hukifa
402,fala'aiga
402,faina
402,ara painapa (Cooks)
402,balawa
402,fala papalagi
402,painapolo (Tuvalu)
402,sub-pah-rohd
411,soursop
411,corossol épineux
411,Stachelannone
411,zuurzak
411,guanabana
411,sirsak
411,nangka belanda
411,nangka seberang
411,durian belanda
411,durian benggala
411,durian makkah
411,saua sap
411,guayabano
411,atti
411,llabanos
411,tiep banla
411,tiep barang
411,khan thalot
411,khièp thét
411,thurian-thet
411,thurian-khaek
411,rian-nam
411,mang câù xiê
411,seremaia
411,sarifa
411,talapo fotofoto
411,sasalapa
411,'apeli'initia
411,apeli'initia
411,sapsap
412,custard apple
412,bullock's heart
412,sugar apple
412,anona
412,anona colodado
412,anona rosada
412,corazon
412,coracao de boi
412,cahuex
412,pox
412,qualtzapotl
412,tzimuy
414,sugar apple
414,sweetsop
414,scaly custard apple
414,custard apple
414,zuckerapfel
414,stachelanone
414,cherimoya
414,attier
414,poreroe cannelle
414,pomme cannelle
414,anon
414,anon de azucar
414,anona de castilla
414,fruta do conde
414,scopappel
414,kaneelappel
414,fan-li-chi
414,sirkaja
414,sarikaja
414,atis
414,ata
414,luna
414,meba
414,sharifa
414,sarifa
414,sitaphal
414,sita pandu
414,nona sri kaya
414,bnah nona
414,seri kaya
414,tiep baay
414,tiep
414,mang cau ta
414,noinah
414,manonah
414,makkhiap
414,lanang
414,mak khbieb
414,na
414,mang caua ta
414,qu a na
431,wild celery
431,celery
431,celery seed
431,apio
431,celeri
431,Sellerie
431,selleri
431,karafs
431,selderij
431,sedano
431,aipo
431,syel'derey
431,serorii
431,ch'in
431,Apii folium
431,seldery
432,celery
443,hoop pine
443,colonial pine
443,Richmond river pine
443,alloa
443,ningwik
443,pien
449,betel nut palm
449,betel nut
449,arecanut
449,areca nut
449,areca palm
449,betel palm
449,Arekapalme
449,noix d`arec
449,Betelnusspalme
449,Iburu (Simbo)
449,heta (Roviana)
449,buai
449,kabibi
449,Arecae semen
449,Semen arecae
449,Nuces arecae
449,Ping lang
449,arequier
449,supari
449,pinang
449,gua
449,adike
449,kamuya
449,poka-vakka
449,kun
449,thamul
449,adikke
