crop_id,companion_species,crop_cycle_max,crop_cycle_min,cropping_system,labour_intensity,level_of_mechanization,product_system,subsystem
289,,180.0,50.0,,,,,
290,,365.0,365.0,,,,,
318,,365.0,365.0,perennial crops,,,,
354,,365.0,240.0,,,,,
363,,150.0,120.0,,,,,
364,,175.0,85.0,,,,"home garden, large scale/commercial",
365,,160.0,60.0,,,,,
390,,300.0,30.0,,,,"home garden, small scale (manual)",
391,,300.0,30.0,,,,,
400,,350.0,220.0,,,,,
401,"peanuts, sesame, cowpea, pigeon pea, sweet potato, cassava, beans, peppers, onions, maize, pineapple, bananas and melons",260.0,190.0,perennial crops,,,,inter-cropping
402,,365.0,330.0,,,,,
411,"mango, avocado, santol",365.0,180.0,perennial crops,,,,inter-cropping
412,,270.0,210.0,,,,home garden,
414,,270.0,210.0,,,,large scale/commercial,
431,,150.0,40.0,,,,,
432,,160.0,80.0,arable irrigated,,,"home garden, small scale (manual)",
443,,300.0,210.0,,,,,
449,,365.0,240.0,,,,,
459,,,,,,,,
465,,0.0,0.0,,,,,
468,,270.0,210.0,,,,"large scale/commercial, protected cultivation",
481,,270.0,110.0,,,,,
482,,365.0,140.0,,,,,
483,,365.0,240.0,,,,,
493,,365.0,300.0,,,,,
501,,0.0,0.0,,,,,
504,,180.0,55.0,,,,,
505,,180.0,55.0,,,,,
508,,0.0,0.0,perennial crops,,,,
513,,160.0,80.0,,,,,
514,,240.0,160.0,,,,,
517,,0.0,0.0,,,,home garden,
545,,120.0,90.0,,,,,
547,,90.0,40.0,,,,,
548,,100.0,50.0,,,,,
549,,340.0,85.0,,,,,
551,,175.0,85.0,,,,,
553,,120.0,60.0,,,,,
554,,200.0,60.0,,,,,
555,,130.0,100.0,arable irrigated,,,"home garden, small scale (manual)",
556,,120.0,80.0,,,,,
565,,0.0,0.0,,,,,
576,,365.0,90.0,,,,,
588,,365.0,365.0,,,,,
594,,100.0,70.0,,,,,
599,,365.0,240.0,perennial crops,high,low,large scale/commercial,ley cropping
606,,300.0,240.0,,,,"home garden, small scale (manual)",
609,,300.0,80.0,,,,,
612,,0.0,0.0,,,,,
618,,180.0,60.0,,,,"home garden, large scale/commercial, protected cultivation",
621,,180.0,120.0,,,,,
630,"mango, citrus sp., rambutan, banana",365.0,330.0,perennial crops,,,"small scale (manual), large scale/commercial",inter-cropping
633,,330.0,210.0,,,,home garden,
639,,330.0,210.0,,,,,
658,,330.0,270.0,,,,,
660,,120.0,30.0,,,,,
669,,0.0,0.0,,,,,
689,,210.0,180.0,perennial crops,,,home garden,
693,,85.0,70.0,arable irrigated,,,"home garden, small scale (manual)",
694,,330.0,90.0,,,,,
708,,0.0,0.0,permanent rainfed,,,large scale/commercial,sole cropping
711,,330.0,140.0,perennial crops,,,,
712,,,,,,,,
714,,365.0,210.0,,,,"home garden, large scale/commercial",
716,,365.0,210.0,perennial crops,,,"home garden, small scale (manual)",
717,,365.0,60.0,,,,,
718,,365.0,60.0,perennial crops,,,"home garden, large scale/commercial",sole cropping
720,,365.0,180.0,perennial crops,,,large scale/commercial,ley cropping
722,,365.0,180.0,perennial crops,,,"home garden, large scale/commercial",ley cropping
738,,365.0,50.0,,,,,
743,,365.0,240.0,perennial crops,,,,
744,,365.0,270.0,,,,,
749,,,,,,,,
750,,300.0,270.0,,,,,
751,,365.0,240.0,perennial crops,,,,
758,,300.0,180.0,,,,,
777,,365.0,240.0,,,,,
784,,140.0,35.0,permanent rainfed,,,,
803,,270.0,180.0,,,,,
810,,100.0,70.0,,,,,
815,,120.0,50.0,,,,,
817,,180.0,40.0,,,,"home garden, small scale (manual), large scale/commercial, protected cultivation",
819,,140.0,80.0,,,,"home garden, large scale/commercial",
820,,140.0,80.0,,,,home garden,
821,,,,,,,,
830,,,,,,,,
847,,270.0,210.0,permanent rainfed,,,,
856,,180.0,120.0,,,,,
859,,330.0,270.0,,,,"home garden, large scale/commercial",
866,,150.0,90.0,,,,,
871,,150.0,40.0,,,,"home garden, large scale/commercial",
882,,365.0,240.0,,,,,
889,,330.0,210.0,,,,,
936,,300.0,220.0,,,,,
938,,300.0,90.0,,,,,
939,,365.0,200.0,,,,,
942,,300.0,180.0,,,,,
945,,270.0,150.0,,,,,
963,,,,,,,,
970,,180.0,120.0,,,,,
972,,,,,,,,
985,,150.0,120.0,,,,,
988,,365.0,90.0,,,,,
1002,,210.0,150.0,,,,,
1007,,,,,,,,
1030,"banana, coffee, cocoa",365.0,150.0,perennial crops,,,,inter-cropping
1033,,365.0,120.0,,,,,
1068,,270.0,120.0,,,,,
1071,,300.0,120.0,perennial crops,,,home garden,
1096,,100.0,60.0,,,,,
1107,,110.0,30.0,arable irrigated,,,"home garden, large scale/commercial",sole cropping
1110,,365.0,210.0,,,,,
1112,,270.0,180.0,perennial crops,,,"home garden, large scale/commercial",sole cropping
1122,,365.0,365.0,,,,,
1125,,365.0,300.0,,,,,
1150,,180.0,75.0,,,,,
1152,,300.0,240.0,,,,,
1193,,150.0,80.0,,,,,
1212,"cocoa, coffee",365.0,365.0,perennial crops,,,large scale/commercial,inter-culture
1213,,240.0,100.0,,,,,
1216,"legumes, maize",0.0,0.0,permanent rainfed,,,"home garden, small scale (manual), large scale/commercial",ratoon cropping
1220,,0.0,0.0,,,,,
1232,,240.0,90.0,permanent rainfed,low,high,large scale/commercial,ley cropping
1252,,150.0,90.0,,,,,
1260,,,,,,,,
1264,,70.0,30.0,,,,,
1265,,170.0,80.0,,,,,
1283,,210.0,175.0,,,,,
1306,,0.0,0.0,,,,,
1311,,,,,,,,
1313,,85.0,35.0,,,,,
1315,,120.0,60.0,,,,,
1344,,365.0,180.0,,,,,
1357,,270.0,100.0,,,,,
1373,,150.0,40.0,arable irrigated,,,"home garden, small scale (manual)",
1379,,150.0,70.0,,,,,
1382,citrus,365.0,365.0,perennial crops,,,,inter-planting
1399,,,,,,,,
1406,,365.0,270.0,,,,,
1407,,320.0,180.0,,,,,
1410,,320.0,180.0,,,,,
1414,,365.0,150.0,,,,,
1416,"papaya, banana, pineapple",365.0,150.0,perennial crops,,,"home garden, small scale (manual), large scale/commercial",inter-culture
1420,,365.0,180.0,,,,,
1428,,,,,,,,
1436,,365.0,120.0,,,,,
1466,,365.0,365.0,,,,,
1485,,180.0,90.0,,,,,
1488,,365.0,365.0,,,,,
1491,food crops,330.0,180.0,perennial crops,,,,alley cropping
1500,,365.0,180.0,perennial crops,,,small scale (manual),
1503,,0.0,0.0,,,,,
1522,,80.0,40.0,,,,,
1528,"legumes (Canavalia, Crotalaria, Vigna)",365.0,170.0,perennial crops,,,,inter-culture
1543,,365.0,365.0,,,,,
1547,,270.0,80.0,,,,"home garden, large scale/commercial",
1553,,365.0,365.0,,,,,
1574,,180.0,80.0,arable irrigated,high,low,"intermediate (animal drawn), large scale/commercial",wet-rice system
1582,,,,,,,,
1602,,240.0,120.0,,,,,
1617,,210.0,120.0,,,,,
1630,,180.0,120.0,,,,,
1634,,365.0,180.0,,,,,
1637,,365.0,180.0,,,,,
1638,,365.0,180.0,,,,,
1639,,365.0,180.0,,,,,
1642,,150.0,80.0,arable irrigated,,,"home garden, small scale (manual)",
1659,,0.0,0.0,,,,,
1665,,,,,,,,
1666,,,,,,,,
1668,,270.0,50.0,,,,,
1673,"wheat, lucerne, vegetables",365.0,365.0,arable irrigated,,,,inter-cropping
1686,,100.0,80.0,,,,,
1689,,365.0,150.0,,,,,
1721,,140.0,60.0,arable irrigated,,,"home garden, large scale/commercial",ley cropping
1784,,120.0,21.0,,,,,
1793,,365.0,365.0,,,,,
1796,,270.0,240.0,perennial crops,,,"home garden, small scale (manual)",
1803,,210.0,150.0,,,,,
1804,,,,,,,,
1807,,,,,,,,
1817,,300.0,180.0,,,,,
1822,,270.0,240.0,arable irrigated,,,small scale (manual),
1824,"Andropogon gayanus, Melinis minutiflora, Panicum maximum, Pennisetum purpureum, Brachiaria decumbens cv. Basilisk",365.0,240.0,grazing,low,low,"small scale (manual), large scale/commercial",phase planting
