crop_id,category,habit,life_form,life_span,physiology,plant_attributes
289,vegetables,erect,herb,annual,single stem,grown on large scale
290,"vegetables, ornamentals/turf, medicinals & aromatic",erect,shrub,"annual, perennial",,grown on small scale
318,"forage/pasture, vegetables, materials, ornamentals/turf, medicinals & aromatic, forest/wood, environmental",erect,tree,perennial,"deciduous, single stem",
354,materials,erect,tree,perennial,single stem,grown on small scale
363,vegetables,erect,herb,"annual, biennial",single stem,grown on large scale
364,"vegetables, medicinals & aromatic",erect,herb,biennial,,grown on large scale
365,vegetables,erect,herb,"annual, perennial",,grown on large scale
390,"cereals & pseudocereals, forage/pasture, vegetables",erect,herb,annual,,grown on small scale
391,vegetables,erect,herb,annual,"single stem, multi stem, C4 photosynthesis","grown on large scale, grown on small scale"
400,vegetables,erect,herb,perennial,single stem,grown on small scale
401,"fruits & nuts, medicinals & aromatic",erect,"shrub, tree",perennial,"evergreen, single stem, multi stem, C3 photosynthesis",grown on large scale
402,fruits & nuts,erect,herb,perennial,single stem,grown on large scale
411,"fruits & nuts, vegetables, medicinals & aromatic, environmental",erect,tree,perennial,"evergreen, semi evergreen, single stem",grown on small scale
412,fruits & nuts,erect,tree,perennial,"deciduous, single stem",grown on small scale
414,fruits & nuts,erect,"shrub, tree",perennial,"evergreen, deciduous, single stem, multi stem","grown on large scale, harvested from wild"
431,"vegetables, medicinals & aromatic",erect,herb,biennial,deciduous,grown on small scale
432,"vegetables, materials","erect, acaulescent (or rosette plants)",herb,"annual, biennial",single stem,grown on small scale
443,"fruits & nuts, ornamentals/turf, forest/wood",erect,tree,perennial,"evergreen, single stem",
449,"fruits & nuts, ornamentals/turf, medicinals & aromatic",erect,tree,perennial,"evergreen, single stem",grown on small scale
459,"fruits & nuts, medicinals & aromatic, forest/wood",erect,tree,perennial,"evergreen, single stem",grown on large scale
465,"forage/pasture, ornamentals/turf, medicinals & aromatic",erect,grass,perennial,,harvested from wild
468,"vegetables, medicinals & aromatic",erect,herb,perennial,multi stem,grown on large scale
481,"cereals & pseudocereals, cover crop",erect,grass,annual,,grown on large scale
482,"fruits & nuts, materials, medicinals & aromatic, forest/wood, environmental",erect,tree,perennial,single stem,grown on small scale
483,"fruits & nuts, materials, medicinals & aromatic",erect,"shrub, tree",perennial,"single stem, multi stem",grown on small scale
493,"materials, environmental",erect,grass,perennial,"evergreen, multi stem",grown on small scale
501,"vegetables, materials, ornamentals/turf, medicinals & aromatic",erect,tree,perennial,single stem,
504,vegetables,climber/scrambler/scadent,herb,"annual, perennial",multi stem,grown on small scale
505,"vegetables, ornamentals/turf",climber/scrambler/scadent,herb,"annual, perennial",multi stem,grown on small scale
508,"forage/pasture, fruits & nuts, vegetables, materials, ornamentals/turf, medicinals & aromatic, forest/wood",erect,tree,perennial,"deciduous, single stem",grown on small scale
513,fruits & nuts,climber/scrambler/scadent,herb,annual,"multi stem, C3 photosynthesis",grown on small scale
514,"roots/tubers, vegetables",acaulescent (or rosette plants),herb,biennial,single stem,grown on large scale
517,"vegetables, ornamentals/turf, medicinals & aromatic, weed",erect,herb,"annual, perennial",multi stem,"grown on small scale, harvested from wild"
545,forest/wood,erect,tree,perennial,"evergreen, semi evergreen, single stem",
547,"vegetables, materials",acaulescent (or rosette plants),herb,"annual, biennial, perennial","single stem, C3 photosynthesis",grown on small scale
548,"vegetables, materials",erect,herb,annual,single stem,grown on large scale
549,"forage/pasture, vegetables, materials",erect,herb,"annual, biennial",,grown on large scale
551,"vegetables, environmental",erect,herb,"annual, biennial",single stem,"grown on large scale, grown on small scale"
553,vegetables,erect,herb,biennial,single stem,grown on small scale
554,vegetables,acaulescent (or rosette plants),herb,biennial,single stem,grown on small scale
