MATCH (a:crop_alias {name: 'bai dao dou'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'dao dou'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Madagaskarbohne'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'jackbohne'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'bhindee'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'bhindi'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'bindi'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'bumbo'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'bunga depros'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'calulu''})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'cantarella'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'chaucha turca'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'dâu bap'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Eibisch'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'frutto d‚ibisco'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'gobbo'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
